2019/10/29 03:33:55 [error] 7#7: *2 "/var/www/hello.test/index.php" is not found (2: No such file or directory), client: 172.23.0.1, server: hello.test, request: "GET / HTTP/1.1", host: "127.0.0.1:8000"
2019/10/29 03:33:58 [error] 7#7: *2 "/var/www/hello.test/index.php" is not found (2: No such file or directory), client: 172.23.0.1, server: hello.test, request: "GET / HTTP/1.1", host: "127.0.0.1:8000"
2019/10/29 03:34:03 [error] 7#7: *2 "/var/www/hello.test/index.php" is not found (2: No such file or directory), client: 172.23.0.1, server: hello.test, request: "GET / HTTP/1.1", host: "127.0.0.1:8000"
2019/10/29 03:34:21 [error] 7#7: *2 "/var/www/hello.test/index.php" is not found (2: No such file or directory), client: 172.23.0.1, server: hello.test, request: "GET / HTTP/1.1", host: "127.0.0.1:8000"
2019/10/30 07:11:42 [error] 8#8: *12 open() "/var/www/app/public/favicon.ico" failed (2: No such file or directory), client: 172.23.0.1, server: app.api, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8000", referrer: "http://127.0.0.1:8000/api/games"
2019/10/31 16:50:26 [error] 7#7: *9 open() "/var/www/app/public/favicon.ico" failed (2: No such file or directory), client: 172.23.0.1, server: app.api, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8000", referrer: "http://127.0.0.1:8000/api"
2019/11/01 10:50:04 [error] 7#7: *2 open() "/var/www/app/public/favicon.ico" failed (2: No such file or directory), client: 172.23.0.1, server: app.api, request: "GET /favicon.ico HTTP/1.1", host: "app.api:8000", referrer: "http://app.api:8000/"
2019/11/03 11:28:21 [error] 8#8: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.25.0.1, server: app.api, request: "GET / HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "127.0.0.1:8000"
2019/11/03 11:42:25 [error] 8#8: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.25.0.1, server: app.api, request: "GET / HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "127.0.0.1:8000"
2019/11/22 17:50:00 [error] 6#6: *292 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 17:50:00 [error] 6#6: *292 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 18:22:13 [error] 6#6: *298 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 18:22:13 [error] 6#6: *302 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 18:59:25 [error] 6#6: *339 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 18:59:26 [error] 6#6: *343 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
2019/11/22 19:00:25 [error] 6#6: *343 open() "/var/www/vision/public/image/assets/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: app.api, request: "GET /image/assets/js/common.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/image/upload"
